Date,Trading Method.,Purchase ID,Asset Alloc.,Asset,Amount($),Asset price,#,Timeframe
01/01/2020,Oneoff,35.CA,35,cash,0.0,1,0,1
01/01/2020,Oneoff,36.ST,36,stocks,5000.0,194.59,25,1
01/01/2020,Oneoff,36.CB,36,cbonds,25000.0,77.58,322,1
01/01/2020,Oneoff,36.SB,36,sbonds,70000.0,253.28,276,1
01/01/2020,Oneoff,36.GO,36,gold,0.0,143.95,0,1
01/01/2020,Oneoff,36.CA,36,cash,0.0,1,0,1
01/01/2020,Oneoff,37.ST,37,stocks,5000.0,194.59,25,1
01/01/2020,Oneoff,37.CB,37,cbonds,20000.0,77.58,257,1
01/01/2020,Oneoff,37.SB,37,sbonds,75000.0,253.28,296,1
01/01/2020,Oneoff,37.GO,37,gold,0.0,143.95,0,1
01/01/2020,Oneoff,37.CA,37,cash,0.0,1,0,1
01/01/2020,Oneoff,38.ST,38,stocks,5000.0,194.59,25,1
01/01/2020,Oneoff,38.CB,38,cbonds,15000.0,77.58,193,1
01/01/2020,Oneoff,38.SB,38,sbonds,80000.0,253.28,315,1
01/01/2020,Oneoff,38.GO,38,gold,0.0,143.95,0,1
01/01/2020,Oneoff,38.CA,38,cash,0.0,1,0,1
01/01/2020,Oneoff,39.ST,39,stocks,5000.0,194.59,25,1
01/01/2020,Oneoff,39.CB,39,cbonds,10000.0,77.58,128,1
01/01/2020,Oneoff,39.SB,39,sbonds,85000.0,253.28,335,1
01/01/2020,Oneoff,39.GO,39,gold,0.0,143.95,0,1
01/01/2020,Oneoff,39.CA,39,cash,0.0,1,0,1
01/01/2020,Oneoff,40.ST,40,stocks,5000.0,194.59,25,1
01/01/2020,Oneoff,40.CB,40,cbonds,5000.0,77.58,64,1
01/01/2020,Oneoff,40.SB,40,sbonds,90000.0,253.28,355,1
01/01/2020,Oneoff,40.GO,40,gold,0.0,143.95,0,1
01/01/2020,Oneoff,40.CA,40,cash,0.0,1,0,1
01/01/2020,Oneoff,41.ST,41,stocks,5000.0,194.59,25,1
01/01/2020,Oneoff,41.CB,41,cbonds,0.0,77.58,0,1
01/01/2020,Oneoff,41.SB,41,sbonds,95000.0,253.28,375,1
01/01/2020,Oneoff,41.GO,41,gold,0.0,143.95,0,1
01/01/2020,Oneoff,41.CA,41,cash,0.0,1,0,1
01/01/2020,Oneoff,42.ST,42,stocks,10000.0,194.59,51,1
01/01/2020,Oneoff,42.CB,42,cbonds,90000.0,77.58,1160,1
01/01/2020,Oneoff,42.SB,42,sbonds,0.0,253.28,0,1
01/01/2020,Oneoff,42.GO,42,gold,0.0,143.95,0,1
01/01/2020,Oneoff,42.CA,42,cash,0.0,1,0,1
01/01/2020,Oneoff,43.ST,43,stocks,10000.0,194.59,51,1
01/01/2020,Oneoff,43.CB,43,cbonds,85000.0,77.58,1095,1
01/01/2020,Oneoff,43.SB,43,sbonds,5000.0,253.28,19,1
01/01/2020,Oneoff,43.GO,43,gold,0.0,143.95,0,1
01/01/2020,Oneoff,43.CA,43,cash,0.0,1,0,1
01/01/2020,Oneoff,44.ST,44,stocks,10000.0,194.59,51,1
