Date,Trading Method.,Purchase ID,Asset Alloc.,Asset,Amount($),Asset price,#,Purchase_num,Timeframe
15/09/2020,oneoff-rebal.,3.8.CA,3,cash,10433.0,1,10608.0,175.0,12
15/10/2020,oneoff-rebal.,3.9.ST,3,stocks,0.0,193.25,0.0,0.0,12
15/10/2020,oneoff-rebal.,3.9.CB,3,cbonds,93780.12,81.69,1150.0,163.38,12
15/10/2020,oneoff-rebal.,3.9.SB,3,sbonds,0.0,259.89,0.0,0.0,12
15/10/2020,oneoff-rebal.,3.9.GO,3,gold,0.0,178.92,0.0,0,12
15/10/2020,oneoff-rebal.,3.9.CA,3,cash,10608.0,1,10438.0,0.0,12
16/11/2020,oneoff-rebal.,3.10.ST,3,stocks,0.0,201.2,0.0,0.0,12
16/11/2020,oneoff-rebal.,3.10.CB,3,cbonds,92897.0,80.78,1151.0,80.78,12
16/11/2020,oneoff-rebal.,3.10.SB,3,sbonds,0.0,257.6,0.0,0.0,12
16/11/2020,oneoff-rebal.,3.10.GO,3,gold,0.0,177.15,0.0,0,12
16/11/2020,oneoff-rebal.,3.10.CA,3,cash,10438.0,1,10333.0,0.0,12
15/12/2020,oneoff-rebal.,3.11.ST,3,stocks,0.0,202.46,0.0,0.0,12
15/12/2020,oneoff-rebal.,3.11.CB,3,cbonds,92954.76000000001,80.76,1151.0,0.0,12
15/12/2020,oneoff-rebal.,3.11.SB,3,sbonds,0.0,255.23,0.0,0.0,12
15/12/2020,oneoff-rebal.,3.11.GO,3,gold,0.0,173.94,0.0,0,12
15/12/2020,oneoff-rebal.,3.11.CA,3,cash,10333.0,1,10328.0,0.0,12
01/01/2020,oneoff-rebal.,4.0.ST,4,stocks,0.0,194.59,0.0,0.0,12
01/01/2020,oneoff-rebal.,4.0.CB,4,cbonds,84950.1,77.58,1095.0,84950.1,12
01/01/2020,oneoff-rebal.,4.0.SB,4,sbonds,4812.32,253.28,19.0,4812.32,12
01/01/2020,oneoff-rebal.,4.0.GO,4,gold,0.0,143.95,0.0,0.0,12
01/01/2020,oneoff-rebal.,4.0.CA,4,cash,10000.0,1,10000.0,10000.0,12
15/01/2020,oneoff-rebal.,4.0.ST,4,stocks,0.0,196.77,0.0,0.0,12
15/01/2020,oneoff-rebal.,4.0.CB,4,cbonds,85946.54999999999,78.49,1091.0,0,12
15/01/2020,oneoff-rebal.,4.0.SB,4,sbonds,4820.49,253.71,19.0,0.0,12
15/01/2020,oneoff-rebal.,4.0.GO,4,gold,0.0,146.54,0.0,0.0,12
15/01/2020,oneoff-rebal.,4.0.CA,4,cash,10000.0,1,10076.0,76.0,12
17/02/2020,oneoff-rebal.,4.1.ST,4,stocks,0.0,205.91,0.0,0.0,12
17/02/2020,oneoff-rebal.,4.1.CB,4,cbonds,86287.19,79.09,1089.0,0,12
17/02/2020,oneoff-rebal.,4.1.SB,4,sbonds,4989.0199999999995,262.58,19.0,0.0,12
17/02/2020,oneoff-rebal.,4.1.GO,4,gold,0.0,150.91,0.0,0.0,12
17/02/2020,oneoff-rebal.,4.1.CA,4,cash,10076.0,1,10135.0,59.0,12
16/03/2020,oneoff-rebal.,4.2.ST,4,stocks,0.0,140.35,0.0,0.0,12
16/03/2020,oneoff-rebal.,4.2.CB,4,cbonds,82949.13,76.17,1094.0,380.85,12
16/03/2020,oneoff-rebal.,4.2.SB,4,sbonds,5005.17,263.43,18.0,0,12
16/03/2020,oneoff-rebal.,4.2.GO,4,gold,0.0,141.64,0.0,0,12
16/03/2020,oneoff-rebal.,4.2.CA,4,cash,10135.0,1,9808.0,0.0,12
