asset alloc,method,timeframe,cost,volatility,return
80,DCA-rebalance,1,0.2708986940,1.8942795564,0.7604607358
80,Oneoff,1,0.2708986940,1.1804304125,0.7604607358
80,oneoff-rebal.,1,0.2708986940,1.8942795564,0.7604607358
81,DCA,1,0.2655010398,1.0129922485,0.9528633370
81,DCA-rebalance,1,0.2655010398,1.7132961322,0.9528633370
81,Oneoff,1,0.2655010398,1.0129922485,0.9528633370
81,oneoff-rebal.,1,0.2655010398,1.7132961322,0.9528633370
82,DCA,1,0.2608959896,0.9336041348,1.1180470577
82,DCA-rebalance,1,0.2608959896,1.6311504763,1.1180470577
82,Oneoff,1,0.2608959896,0.9336041348,1.1180470577
82,oneoff-rebal.,1,0.2608959896,1.6311504763,1.1180470577
83,DCA,1,0.2571405864,0.9255877986,1.2549515134
83,DCA-rebalance,1,0.2568697979,1.6121389921,1.2606598596
83,Oneoff,1,0.2571405864,0.9255877986,1.2549515134
83,oneoff-rebal.,1,0.2568697979,1.6121389921,1.2606598596
84,DCA,1,0.2536043430,0.9669892324,1.3816609957
84,DCA-rebalance,1,0.2533659638,1.6550533725,1.3864541634
84,Oneoff,1,0.2536043430,0.9669892324,1.3816609957
84,oneoff-rebal.,1,0.2533659638,1.6550533725,1.3864541634
85,DCA,1,0.2504604366,1.0377087018,1.4934498331
85,DCA-rebalance,1,0.2504604366,1.7393941984,1.4934498331
85,Oneoff,1,0.2504604366,1.0377087018,1.4934498331
85,oneoff-rebal.,1,0.2504604366,1.7393941984,1.4934498331
86,DCA,1,0.2476648809,1.1225242308,1.5928522568
86,DCA-rebalance,1,0.2476648809,1.8306334780,1.5928522568
86,Oneoff,1,0.2476648809,1.1225242308,1.5928522568
86,oneoff-rebal.,1,0.2476648809,1.8306334780,1.5928522568
87,DCA,1,0.2453488659,1.2097108585,1.6784374473
87,DCA-rebalance,1,0.2451781402,1.9174506372,1.6813779305
87,Oneoff,1,0.2453488659,1.2097108585,1.6784374473
87,oneoff-rebal.,1,0.2451781402,1.9174506372,1.6813779305
88,DCA,1,0.2430782527,1.2997350492,1.7590124054
88,DCA-rebalance,1,0.2429241665,2.0191974510,1.7615179775
88,Oneoff,1,0.2430782527,1.2997350492,1.7590124054
88,oneoff-rebal.,1,0.2429241665,2.0191974510,1.7615179775
89,DCA,1,0.2410372938,1.3876700556,1.8321346374
89,DCA-rebalance,1,0.2410372938,2.1294248292,1.8321346374
89,Oneoff,1,0.2410372938,1.3876700556,1.8321346374
89,oneoff-rebal.,1,0.2410372938,2.1294248292,1.8321346374
90,DCA,1,0.2391690219,1.4711477907,1.8984003953
90,DCA-rebalance,1,0.2391690219,2.2268166904,1.8984003953
90,Oneoff,1,0.2391690219,1.4711477907,1.8984003953
90,oneoff-rebal.,1,0.2391690219,2.2268166904,1.8984003953
91,DCA,1,0.2375913835,1.5488333544,1.9570384058
91,DCA-rebalance,1,0.2375913835,2.3185760993,1.9570384058
91,Oneoff,1,0.2375913835,1.5488333544,1.9570384058
91,oneoff-rebal.,1,0.2375913835,2.3185760993,1.9570384058
92,DCA,1,0.2360176808,1.6235312758,2.0127438615
92,DCA-rebalance,1,0.2360176808,2.4077112428,2.0127438615
92,Oneoff,1,0.2360176808,1.6235312758,2.0127438615
92,oneoff-rebal.,1,0.2360176808,2.4077112428,2.0127438615
93,DCA,1,0.2345797593,1.6943288440,2.0642301125
93,DCA-rebalance,1,0.2345797593,2.4929234001,2.0642301125
93,Oneoff,1,0.2345797593,1.6943288440,2.0642301125
93,oneoff-rebal.,1,0.2345797593,2.4929234001,2.0642301125
94,DCA,1,0.2332436283,1.7601959902,2.1115033878
94,DCA-rebalance,1,0.2332436283,2.5727771157,2.1115033878
94,Oneoff,1,0.2332436283,1.7601959902,2.1115033878
94,oneoff-rebal.,1,0.2332436283,2.5727771157,2.1115033878
95,DCA,1,0.2320922149,1.8210116759,2.1539849011
95,DCA-rebalance,1,0.2320922149,2.6469549881,2.1539849011
95,Oneoff,1,0.2320922149,1.8210116759,2.1539849011
95,oneoff-rebal.,1,0.2320922149,2.6469549881,2.1539849011
96,DCA,1,0.2909268544,1.3786680587,0.4433464340
96,DCA-rebalance,1,0.2909268544,2.1190042173,0.4433464340
96,Oneoff,1,0.2909268544,1.3786680587,0.4433464340
